Shipment_ID,Supplier_Name,Product_Category,Import_Cost,Quantity,Shipping_Days,Expected_Days,Delay_Days,Damage_Rate,Return_Rate,Region,Month,Weather_Risk,Port_Congestion_Score,Payment_Delay,Risk_Label
SHP0047,Guangzhou Exports,Textiles,36043.58,935,22,15,7,17.14,10.95,Nashik,8,Medium,8.8,4,High
SHP0048,Nagpur Freight,Machinery,64512.22,1914,19,18,1,2.46,4.11,Kolhapur,4,Low,1.2,8,Low
SHP0049,Chennai Logistics,Machinery,193543.38,2336,10,9,1,0.0,2.35,Amravati,7,Medium,6.8,6,Low
SHP0050,Shenzhen Traders,Electronics,176022.49,2189,12,10,2,12.46,8.12,Mumbai,5,Low,6.2,0,Medium
SHP0051,Nashik Distributors,Chemicals,72408.99,2619,22,20,2,3.68,4.17,Pune,9,Medium,6.5,9,Low
SHP0052,Nashik Distributors,Machinery,54670.89,3622,13,13,0,0.0,3.03,Nashik,9,Low,5.7,7,Low
SHP0053,Kolkata Goods Ltd,Pharmaceuticals,190030.52,2754,16,9,7,20.56,8.14,Aurangabad,2,High,3.8,9,High
SHP0054,Chennai Logistics,Chemicals,84636.62,3346,31,28,3,4.95,1.37,Nashik,3,High,3.7,8,Low
SHP0055,Kolkata Goods Ltd,Electronics,150886.24,1475,31,28,3,8.29,6.03,Amravati,7,High,6.1,5,Medium
SHP0056,Chennai Logistics,Chemicals,45985.62,4801,23,16,7,0.0,3.37,Thane,8,High,6.9,0,Medium
SHP0057,Guangzhou Exports,Machinery,97271.31,1440,29,23,6,18.27,10.13,Nanded,9,High,1.8,0,High
SHP0058,Mumbai Port Co,Chemicals,136195.16,1890,14,14,0,6.04,1.54,Nashik,1,Low,2.3,5,Low
SHP0059,Nashik Distributors,Chemicals,93806.15,4765,10,9,1,0.05,6.29,Thane,7,Low,7.5,7,Medium
SHP0060,Guangzhou Exports,Food & Agri,132931.31,95,12,11,1,15.56,8.68,Nagpur,4,Low,8.0,8,Medium
SHP0061,Aurangabad Traders,Pharmaceuticals,14792.59,2091,21,21,0,4.66,5.01,Amravati,8,Low,5.1,8,Low
SHP0062,Nashik Distributors,Pharmaceuticals,190257.72,3675,17,17,0,1.0,1.05,Kolhapur,9,High,8.3,2,Medium
SHP0063,Nagpur Freight,Pharmaceuticals,150012.81,3938,21,12,9,8.21,2.48,Aurangabad,4,Medium,3.3,8,Medium
SHP0064,Nagpur Freight,Machinery,51652.94,3653,37,27,10,10.1,1.96,Aurangabad,4,Low,7.4,3,Medium
SHP0065,Pune Supply Chain,Electronics,20712.64,1285,29,24,5,2.88,4.89,Nashik,3,Low,4.4,8,Low
SHP0066,Kolkata Goods Ltd,Pharmaceuticals,69521.87,3866,23,20,3,8.82,0.52,Kolhapur,7,Medium,1.6,0,Low
SHP0067,Shenzhen Traders,Pharmaceuticals,79174.3,98,29,25,4,8.26,11.26,Kolhapur,7,Medium,3.7,0,Medium
SHP0068,Aurangabad Traders,Chemicals,180073.21,4049,27,26,1,5.39,6.88,Mumbai,8,Low,3.5,0,Low
SHP0069,Pune Supply Chain,Pharmaceuticals,137432.67,3362,33,28,5,5.03,2.04,Nagpur,8,High,2.5,6,Medium
SHP0070,Aurangabad Traders,Textiles,181851.13,4898,10,7,3,3.2,4.14,Kolhapur,2,High,7.0,3,Low
SHP0071,Nagpur Freight,Chemicals,14805.5,3155,16,12,4,8.99,8.17,Solapur,6,Medium,2.9,0,Medium
SHP0072,Chennai Logistics,Machinery,54192.95,720,27,20,7,0.0,1.7,Mumbai,9,Medium,1.2,7,Low
SHP0073,Guangzhou Exports,Pharmaceuticals,18380.58,379,35,27,8,13.13,9.58,Mumbai,4,Low,9.5,3,High
SHP0074,Delhi Import Hub,Machinery,29613.09,987,15,14,1,8.55,5.71,Aurangabad,8,High,9.5,2,Medium
SHP0075,Delhi Import Hub,Electronics,123413.26,988,31,26,5,6.92,6.63,Nanded,2,Low,9.7,7,Medium
SHP0076,Chennai Logistics,Pharmaceuticals,137082.72,3124,25,25,0,1.32,3.49,Pune,4,Medium,9.5,7,Low
SHP0077,Guangzhou Exports,Electronics,140952.64,2520,17,10,7,15.35,12.56,Nanded,2,High,6.4,2,High
SHP0078,Pune Supply Chain,Chemicals,88533.71,3085,27,24,3,4.39,3.56,Mumbai,6,Low,5.6,9,Low
SHP0079,Nagpur Freight,Chemicals,89537.06,3017,16,10,6,9.44,7.61,Nagpur,8,High,9.0,5,High
SHP0080,Delhi Import Hub,Chemicals,106740.62,2262,35,30,5,5.07,5.65,Thane,9,High,8.3,4,Medium
SHP0081,Kolkata Goods Ltd,Chemicals,120532.55,2690,36,30,6,10.79,5.36,Aurangabad,2,Low,8.5,13,Medium
SHP0082,Guangzhou Exports,Chemicals,116120.68,3154,25,21,4,11.36,12.32,Nagpur,6,Medium,1.3,8,Medium
SHP0083,Guangzhou Exports,Pharmaceuticals,160577.31,2838,27,18,9,16.89,9.98,Aurangabad,12,Medium,8.9,1,High
SHP0084,Shenzhen Traders,Textiles,189872.2,751,28,23,5,9.97,9.95,Amravati,8,Low,7.5,4,Medium
SHP0085,Nagpur Freight,Food & Agri,143809.27,3721,28,27,1,6.04,5.83,Kolhapur,4,Low,1.8,2,Low
SHP0086,Guangzhou Exports,Food & Agri,134472.2,3073,21,16,5,15.73,10.49,Kolhapur,6,Medium,6.0,2,High
SHP0087,Aurangabad Traders,Food & Agri,73603.05,3767,18,17,1,5.7,1.1,Pune,4,Medium,3.8,0,Low
SHP0088,Guangzhou Exports,Machinery,28313.17,4439,22,17,5,14.36,10.62,Thane,4,High,2.7,10,High
SHP0089,Nashik Distributors,Machinery,121374.19,873,26,23,3,1.52,1.96,Nagpur,6,Low,3.7,0,Low
SHP0090,Shenzhen Traders,Food & Agri,109156.34,2297,33,29,4,11.13,8.65,Aurangabad,9,Low,9.8,1,Medium
SHP0091,Delhi Import Hub,Chemicals,174349.93,4071,31,27,4,10.6,4.78,Aurangabad,10,Low,8.9,6,Medium
SHP0092,Nagpur Freight,Electronics,71437.66,470,27,21,6,5.8,5.45,Pune,8,Medium,9.5,5,Medium
SHP0093,Kolkata Goods Ltd,Electronics,19446.02,489,28,22,6,6.68,7.05,Aurangabad,10,Low,2.3,6,Medium
SHP0094,Guangzhou Exports,Pharmaceuticals,113824.24,3459,22,10,12,17.88,14.31,Nashik,10,High,6.4,1,High
SHP0095,Kolkata Goods Ltd,Pharmaceuticals,182158.35,2485,29,21,8,9.55,11.38,Nanded,5,High,9.9,1,High
SHP0096,Shenzhen Traders,Textiles,192221.21,862,28,26,2,10.2,3.75,Pune,5,Low,6.6,2,Low
SHP0097,Guangzhou Exports,Chemicals,112638.49,1332,17,12,5,15.45,10.68,Nanded,12,Low,4.7,12,High
SHP0098,Chennai Logistics,Machinery,50137.87,2366,11,8,3,1.27,0.2,Nashik,2,High,8.7,6,Medium
SHP0099,Nashik Distributors,Machinery,161761.61,1670,28,28,0,7.49,4.36,Nagpur,4,Medium,2.0,3,Low
SHP0100,Delhi Import Hub,Chemicals,16629.42,2569,9,9,0,10.06,4.77,Aurangabad,10,High,7.7,9,Medium
SHP0101,Mumbai Port Co,Electronics,139292.21,3347,21,21,0,2.2,3.01,Thane,8,Medium,5.5,5,Low
SHP0102,Nashik Distributors,Food & Agri,178437.46,2690,8,8,0,3.87,0.0,Nashik,2,High,3.3,4,Low
SHP0103,Nashik Distributors,Pharmaceuticals,190403.32,2257,26,25,1,3.54,3.42,Thane,3,High,1.4,0,Low
SHP0104,Nagpur Freight,Chemicals,40390.38,4845,15,15,0,10.83,5.66,Pune,8,Medium,6.7,2,Medium
SHP0105,Pune Supply Chain,Machinery,69995.14,906,26,20,6,5.35,6.36,Thane,12,Low,4.0,5,Medium
SHP0106,Kolkata Goods Ltd,Pharmaceuticals,12155.94,771,36,24,12,14.27,6.5,Kolhapur,2,Medium,3.3,8,Medium
SHP0107,Shenzhen Traders,Pharmaceuticals,174526.66,3834,34,28,6,16.11,6.07,Solapur,9,Medium,1.5,7,Medium
SHP0108,Nagpur Freight,Chemicals,91197.99,472,34,27,7,1.72,2.63,Aurangabad,3,Low,3.4,0,Low
SHP0109,Nagpur Freight,Pharmaceuticals,10629.54,2010,13,10,3,9.15,8.0,Mumbai,9,High,2.4,5,Medium
SHP0110,Kolkata Goods Ltd,Chemicals,48816.63,979,19,9,10,4.86,3.59,Nagpur,11,Medium,9.5,4,Medium
SHP0111,Chennai Logistics,Pharmaceuticals,142555.27,3453,25,23,2,2.9,0.0,Thane,4,Medium,9.8,4,Low
SHP0112,Delhi Import Hub,Machinery,42169.02,4960,19,19,0,8.01,5.73,Pune,3,High,7.7,1,Medium
SHP0113,Kolkata Goods Ltd,Pharmaceuticals,187178.44,4209,21,17,4,5.82,6.87,Aurangabad,5,Medium,8.4,8,Medium
SHP0114,Nashik Distributors,Pharmaceuticals,100479.87,1267,28,28,0,3.51,0.94,Solapur,6,Medium,5.8,1,Low
SHP0115,Aurangabad Traders,Chemicals,93792.2,2686,21,19,2,1.89,2.89,Nanded,4,Low,9.8,0,Low
SHP0116,Guangzhou Exports,Food & Agri,13511.22,3924,33,20,13,15.11,8.6,Kolhapur,7,High,9.2,5,High
SHP0117,Delhi Import Hub,Chemicals,193140.77,1084,24,22,2,5.34,6.23,Pune,6,High,9.7,8,Medium
SHP0118,Mumbai Port Co,Electronics,182536.13,175,23,23,0,2.27,2.45,Nagpur,11,High,2.3,0,Low
SHP0119,Nagpur Freight,Chemicals,71019.44,3306,15,15,0,11.1,8.29,Amravati,6,High,1.7,4,Medium
SHP0120,Pune Supply Chain,Food & Agri,145149.9,4047,30,27,3,5.93,10.16,Nashik,2,High,1.3,9,Medium
SHP0121,Chennai Logistics,Chemicals,150619.44,3605,14,14,0,0.13,0.0,Pune,12,Low,7.8,5,Low
SHP0122,Delhi Import Hub,Machinery,63395.89,287,29,29,0,1.73,3.71,Aurangabad,1,Low,3.9,0,Low
SHP0123,Pune Supply Chain,Textiles,33386.11,4401,27,20,7,7.64,3.98,Nagpur,3,Medium,6.1,10,Low
SHP0124,Mumbai Port Co,Chemicals,174813.72,2022,28,26,2,1.42,6.05,Nashik,3,Medium,9.2,7,Medium
SHP0125,Chennai Logistics,Textiles,54788.71,126,21,21,0,2.43,0.25,Amravati,11,Medium,9.1,0,Low
SHP0126,Mumbai Port Co,Chemicals,189320.95,4863,25,21,4,9.73,0.2,Aurangabad,7,Medium,6.8,7,Medium
SHP0127,Chennai Logistics,Pharmaceuticals,199877.85,4008,13,13,0,1.54,0.82,Solapur,10,Low,3.1,1,Low
SHP0128,Chennai Logistics,Pharmaceuticals,62570.0,3292,30,29,1,0.51,2.54,Mumbai,11,Medium,1.1,4,Low
SHP0129,Nagpur Freight,Pharmaceuticals,156269.49,1935,19,16,3,4.28,3.85,Nashik,4,High,8.2,8,Medium
SHP0130,Chennai Logistics,Machinery,152337.58,1170,30,28,2,0.07,2.2,Mumbai,11,High,1.9,8,Low
SHP0131,Nagpur Freight,Textiles,118016.89,1126,8,8,0,8.63,3.67,Kolhapur,6,Low,9.2,7,Medium
SHP0132,Guangzhou Exports,Machinery,158370.0,3047,16,11,5,9.59,6.74,Nagpur,5,High,5.5,5,Medium
SHP0133,Nagpur Freight,Textiles,150579.07,2824,20,16,4,4.29,6.28,Nagpur,2,Low,5.2,0,Medium
SHP0134,Kolkata Goods Ltd,Machinery,76326.13,3282,29,24,5,5.37,5.7,Thane,2,Low,3.4,5,Medium
SHP0135,Chennai Logistics,Pharmaceuticals,79299.97,3093,25,25,0,1.85,4.01,Mumbai,8,Low,7.1,2,Low
SHP0136,Aurangabad Traders,Food & Agri,183474.9,1863,22,17,5,1.61,5.06,Aurangabad,8,High,1.6,10,Medium
SHP0137,Kolkata Goods Ltd,Textiles,32256.52,354,10,10,0,6.61,8.15,Pune,2,Medium,10.0,4,Medium
SHP0138,Aurangabad Traders,Chemicals,80785.94,3089,15,11,4,3.19,4.17,Amravati,12,High,9.5,4,Medium
SHP0139,Nashik Distributors,Chemicals,146686.83,3448,34,30,4,2.76,2.68,Nanded,8,High,1.9,3,Medium
SHP0140,Chennai Logistics,Electronics,139604.73,1829,8,8,0,1.7,2.79,Solapur,4,Medium,5.0,3,Low
SHP0141,Pune Supply Chain,Chemicals,180830.76,2988,26,24,2,11.23,5.74,Pune,4,Low,4.6,3,Medium
SHP0142,Mumbai Port Co,Textiles,46360.63,4941,33,28,5,2.78,0.0,Nashik,6,Low,1.5,0,Low
SHP0143,Nashik Distributors,Textiles,18378.98,4590,13,13,0,0.95,2.04,Solapur,4,Low,6.3,11,Low
SHP0144,Nashik Distributors,Food & Agri,59068.59,1235,8,7,1,1.34,3.66,Pune,3,Low,5.9,0,Low
SHP0145,Shenzhen Traders,Electronics,7897.76,1999,16,11,5,14.31,5.04,Aurangabad,3,High,3.9,9,Medium
SHP0146,Delhi Import Hub,Pharmaceuticals,87087.31,981,34,30,4,4.75,6.27,Solapur,8,High,1.6,14,Medium
SHP0147,Nashik Distributors,Machinery,93141.06,1864,11,10,1,2.74,1.08,Amravati,11,High,1.4,1,Low
SHP0148,Nagpur Freight,Chemicals,192985.11,548,33,27,6,4.43,5.14,Pune,7,Medium,8.6,3,Medium
SHP0149,Nagpur Freight,Pharmaceuticals,180357.02,2688,14,9,5,8.0,7.08,Aurangabad,3,High,2.3,2,Medium
SHP0150,Nashik Distributors,Pharmaceuticals,143869.8,3170,24,24,0,0.0,1.11,Amravati,8,High,5.8,6,Low
SHP0151,Kolkata Goods Ltd,Chemicals,159653.74,987,18,10,8,6.23,8.74,Nashik,9,High,6.9,10,Medium
SHP0152,Nagpur Freight,Chemicals,85693.65,3765,19,14,5,12.63,3.45,Solapur,2,Medium,4.7,0,Medium
SHP0153,Pune Supply Chain,Electronics,54703.51,1300,28,28,0,9.49,5.31,Pune,2,High,9.3,4,Medium
SHP0154,Mumbai Port Co,Pharmaceuticals,23830.06,3102,22,20,2,0.62,7.89,Amravati,10,Low,6.0,5,Low
SHP0155,Pune Supply Chain,Machinery,28835.1,2946,30,28,2,7.18,4.96,Mumbai,7,High,9.5,5,Medium
SHP0156,Nashik Distributors,Textiles,73571.01,4784,16,16,0,3.41,5.76,Thane,11,High,2.9,10,Medium
SHP0157,Mumbai Port Co,Chemicals,169847.82,3061,24,18,6,2.47,1.02,Nashik,10,Low,7.9,4,Medium
SHP0158,Aurangabad Traders,Electronics,124646.79,4610,29,26,3,8.28,0.62,Aurangabad,11,Low,6.5,11,Low
SHP0159,Delhi Import Hub,Pharmaceuticals,142026.26,2581,17,15,2,4.72,2.98,Nagpur,3,Medium,4.2,0,Low
SHP0160,Kolkata Goods Ltd,Chemicals,32665.56,301,17,9,8,9.22,4.42,Kolhapur,4,Low,7.7,0,Medium
SHP0161,Nagpur Freight,Electronics,35694.81,2602,19,17,2,12.01,4.48,Nanded,10,High,3.9,0,Medium
SHP0162,Shenzhen Traders,Chemicals,35694.93,457,15,11,4,11.18,2.61,Kolhapur,8,High,1.7,4,Medium
SHP0163,Nashik Distributors,Machinery,85765.83,1815,21,21,0,4.09,5.7,Pune,7,High,2.0,9,Medium
SHP0164,Nashik Distributors,Electronics,107752.15,2576,22,22,0,0.0,7.15,Mumbai,10,Low,3.0,5,Low
SHP0165,Guangzhou Exports,Chemicals,189338.2,1174,24,16,8,14.93,10.4,Mumbai,2,Medium,3.6,4,High
SHP0166,Kolkata Goods Ltd,Electronics,30191.21,4412,16,12,4,7.36,6.93,Solapur,9,High,3.1,2,Medium
SHP0167,Kolkata Goods Ltd,Chemicals,13248.94,203,33,30,3,9.32,6.49,Nanded,6,Medium,9.3,11,Medium
SHP0168,Nashik Distributors,Textiles,143352.3,3471,19,19,0,5.27,4.49,Solapur,1,Medium,2.0,0,Low
SHP0169,Nashik Distributors,Chemicals,167245.05,3014,21,21,0,0.89,0.0,Nashik,2,Low,4.9,1,Low
SHP0170,Nashik Distributors,Textiles,107172.7,3292,19,19,0,7.26,3.87,Solapur,4,Medium,7.7,10,Low
SHP0171,Mumbai Port Co,Food & Agri,128478.81,4396,27,23,4,0.61,1.95,Solapur,6,High,2.7,6,Medium
SHP0172,Delhi Import Hub,Textiles,25046.88,2146,14,14,0,8.14,4.52,Pune,3,Low,2.6,3,Low
SHP0173,Nagpur Freight,Machinery,152116.94,4797,27,21,6,8.33,4.28,Nanded,10,Medium,7.1,9,Medium
SHP0174,Pune Supply Chain,Electronics,90753.75,3891,11,11,0,6.85,5.19,Nanded,5,Medium,6.7,3,Low
SHP0175,Pune Supply Chain,Electronics,19467.18,3832,25,23,2,1.25,5.85,Aurangabad,6,Medium,1.3,4,Low
SHP0176,Mumbai Port Co,Chemicals,120845.56,3199,26,26,0,7.15,1.59,Mumbai,12,Medium,6.2,0,Low
SHP0177,Nashik Distributors,Electronics,41706.7,3946,27,27,0,3.82,0.0,Thane,1,High,2.4,12,Low
SHP0178,Pune Supply Chain,Pharmaceuticals,21444.18,1463,29,29,0,10.09,4.42,Thane,8,Low,3.2,4,Low
SHP0179,Aurangabad Traders,Electronics,35955.51,3104,27,26,1,6.2,3.92,Nanded,6,Medium,4.5,9,Low
SHP0180,Pune Supply Chain,Textiles,69289.7,4620,11,9,2,5.45,3.27,Nanded,5,High,4.5,4,Low
SHP0181,Pune Supply Chain,Textiles,118634.21,1208,11,9,2,0.0,1.3,Kolhapur,11,Medium,3.8,7,Low
SHP0182,Nashik Distributors,Food & Agri,187910.43,2586,30,29,1,1.45,2.04,Nagpur,6,High,4.4,6,Low
SHP0183,Aurangabad Traders,Textiles,130974.84,3518,10,9,1,2.67,4.39,Aurangabad,6,High,4.3,1,Low
SHP0184,Guangzhou Exports,Electronics,189795.31,4033,26,17,9,9.89,12.06,Nagpur,3,Low,3.0,6,High
SHP0185,Chennai Logistics,Pharmaceuticals,103999.49,4471,11,10,1,5.95,5.33,Solapur,1,High,9.0,9,Medium
SHP0186,Delhi Import Hub,Food & Agri,78460.37,1379,26,26,0,2.16,3.75,Nagpur,10,Low,8.5,5,Low
SHP0187,Nagpur Freight,Textiles,85117.43,1995,13,8,5,4.82,5.37,Thane,12,Medium,6.5,1,Medium
SHP0188,Aurangabad Traders,Chemicals,65346.24,3892,15,14,1,0.78,2.15,Thane,10,Low,4.3,0,Low
SHP0189,Chennai Logistics,Machinery,103066.8,3479,19,19,0,6.16,0.1,Nagpur,10,Low,8.4,15,Low
SHP0190,Shenzhen Traders,Electronics,98715.18,3090,33,27,6,12.55,6.28,Amravati,12,High,9.4,7,High
SHP0191,Chennai Logistics,Electronics,153807.78,2284,9,9,0,3.37,7.12,Kolhapur,3,Medium,9.1,4,Medium
SHP0192,Guangzhou Exports,Textiles,177502.81,268,32,21,11,12.89,9.93,Solapur,9,Medium,1.5,12,Medium
SHP0193,Kolkata Goods Ltd,Textiles,78107.97,280,13,9,4,14.44,8.42,Solapur,12,Medium,9.4,2,Medium
SHP0194,Delhi Import Hub,Chemicals,60941.48,3920,12,8,4,8.92,6.24,Thane,12,High,8.5,0,High
SHP0195,Nashik Distributors,Food & Agri,181642.21,205,7,7,0,1.26,1.85,Amravati,3,Medium,2.9,7,Low
SHP0196,Nashik Distributors,Chemicals,87534.68,2410,24,23,1,0.0,2.76,Nashik,1,Low,3.7,7,Low
SHP0197,Nashik Distributors,Pharmaceuticals,17247.39,4144,23,21,2,5.24,3.67,Amravati,11,High,5.8,6,Low
SHP0198,Guangzhou Exports,Chemicals,32997.48,3566,36,29,7,10.02,10.86,Nanded,4,Low,6.5,5,Medium
SHP0199,Delhi Import Hub,Pharmaceuticals,135301.91,4338,31,28,3,2.17,2.84,Amravati,9,Medium,1.6,9,Low
SHP0200,Aurangabad Traders,Food & Agri,8965.19,3901,26,24,2,7.04,4.06,Aurangabad,6,Low,6.7,5,Low
SHP0201,Shenzhen Traders,Pharmaceuticals,158761.4,2874,25,18,7,10.45,8.19,Pune,11,Low,7.6,3,Medium
SHP0202,Pune Supply Chain,Food & Agri,13645.46,4522,11,11,0,4.07,4.44,Thane,3,Medium,8.3,3,Low
SHP0203,Nagpur Freight,Machinery,40544.21,1154,34,27,7,4.32,4.63,Mumbai,8,Low,7.4,3,Medium
SHP0204,Guangzhou Exports,Pharmaceuticals,159266.3,393,20,8,12,15.59,12.06,Kolhapur,9,Medium,9.4,0,High
SHP0205,Nagpur Freight,Machinery,12141.05,1615,19,15,4,9.67,5.16,Solapur,1,Medium,4.2,9,Medium
SHP0206,Mumbai Port Co,Textiles,90205.52,3326,18,18,0,8.23,7.6,Solapur,7,High,5.0,3,Medium
SHP0207,Nagpur Freight,Electronics,102017.06,4303,31,29,2,11.36,8.16,Kolhapur,12,Medium,8.2,2,Medium
SHP0208,Kolkata Goods Ltd,Machinery,199044.14,1528,30,26,4,8.15,4.31,Pune,2,High,3.6,1,Medium
SHP0209,Chennai Logistics,Electronics,91953.57,3540,16,16,0,0.7,1.93,Thane,6,Low,7.2,5,Low
SHP0210,Pune Supply Chain,Food & Agri,199639.37,2299,32,26,6,2.0,5.97,Pune,1,High,9.8,4,Medium
SHP0211,Kolkata Goods Ltd,Electronics,105051.77,1360,23,18,5,11.02,4.75,Thane,10,Low,2.3,6,Medium
SHP0212,Delhi Import Hub,Pharmaceuticals,51019.1,3050,12,9,3,7.48,5.58,Mumbai,10,Medium,4.4,14,Low
SHP0213,Delhi Import Hub,Textiles,92734.9,3088,29,28,1,4.41,3.75,Nanded,2,Medium,5.0,2,Low
SHP0214,Aurangabad Traders,Chemicals,82616.64,2333,19,18,1,8.57,6.84,Nagpur,1,Low,9.6,2,Medium
SHP0215,Aurangabad Traders,Textiles,183140.79,1014,19,19,0,6.41,2.9,Thane,12,Medium,8.0,7,Low
